título,autor,citas,observación
Preface,"M Schwab, WP Kaschka, E Spina ",48,no encontrado
Tacit Knowledge in Requirements,-,-,-
Towards a framework for improving goal-oriented requirement models quality,"C Cares, J Franch Gutiérrez ",7,no encontrado
,"VMB Werneck, APA Oliveira, JCS do Prado Leite ",34,no encontrado
,"LM Cysneiros, VMB Werneck ",23,no encontrado
Modularizando Modelos i*: uma Abordagem baseada em Transformação de Modelos.,"M Lucena, CTLL Silva, E Santos, FMR Alencar… ",3,no encontrado
,JP Carvallo Vega… ,3,no encontrado
Um Processo de Validação de Requisitos Não-Funcionais Baseado no NFR-Framework.,"A de Araujo Couto, LEG Martins ",4,no encontrado
Explicitar Requisitos del Software usando Escenarios.,"GDS Hadad, JH Doorn, GN Kaplan ",26,no encontrado
Facilitando la Asignación de Prioridades a los Requisitos.,"GDS Hadad, JH Doorn, M Ridao, GN Kaplan ",18,no encontrado
,"AQ Retamal, VV Zepeda, JAG Arancibia, CM Villegas ",5,no encontrado
Research Findings on Empirical Evaluation of Requirements Specifications Approaches.,N Condori,6,no encontrado
OpenReq: uma Ferramenta para Auxílio à Gerência de Requisitos.,"CL Grings, M Sayão ",1,no encontrado
Towards a requirements reuse method using Product Line in distributed environments.,"T Ebling, JLN Audy, R Prikladnicki ",6,no encontrado
A Systematic Process for Defining Meshing Tool Software Product Line Domain Model.,"PO Rossel, MC Bastarrica, N Hitschfeld",6,no encontrado
Uma Avaliação sobre Rastreabilidade de Software no Contexto do MPS. BR,"MDO Leal, SR Bezerra ",None,no encontrado
