título,autor,citas,observación
Organization,-,-,-
Table of Contents,-,-,-
Preface,"M Schwab, WP Kaschka, E Spina ",48,no encontrado
Business-IT Alignment in Value Webs.,RJ Wieringa ,0,no encontrado
TRANSER: Ingeniería de Requisitos en un Desarrollo Orientado al Mercado.,"ME Incera, J Arizmendi, E Calonge, J Oiarbide ",None,no encontrado
Evaluación Empírica de la Estimación de Tamaño Funcional de Escenarios.,"M Bertolami, A Oliveros ",1,no encontrado
Uma Proposta para Avaliação de Equipes de Requisitos.,"M Serrano, M Serrano, F Napolitano, E Kinder… ",5,no encontrado
Aplicação de Técnicas de Leitura durante a Análise de Requisitos.,"MS Cabral, FMR Alencar, J Castro, O Pastor… ",3,no encontrado
Can rules of inferences resolve coordination ambiguity in natural language requirements specification?,"SF Tjong, DM Berry ",8,no encontrado
Product Line Requirements: Multi-Paradigm Variability Models.,"MA Laguna, B González",14,no encontrado
Designing a Simulator for the Training of Software Engineers in Global Requirements Elicitation.,"M Romero, A Vizcaíno, M Piattini ",2,no encontrado
Engenharia de requisitos em ambientes distribuídos de desenvolvimento de software: resultados preliminares de um estudo etnográfico,"A Lemos, CRB de Souza ",3,no encontrado
,"O Dieste, M Lopez, F Ramos ",29,no encontrado
Study of Elicitation Techniques Adequacy,"DH Carrizo Moreno, O Dieste Tubio, N Juristo Juzgado ",0,no encontrado
A Methodology for Reducing Geographical Dispersion Problems during Global Requirements Elicitation.,"GN Aranda, A Vizcaíno, A Cechich, M Piattini ",11,no encontrado
Automated assistance for use cases elicitation from user requirements text,"SM Seresht, O Ormandjieva ",23,no encontrado
PARADIGMA: Uma Ferramenta de Apoio à Elicitação e Modelagem de Requisitos Baseada em Processamento de Linguagem Natural.,"WC da Silva, LEG Martins ",11,no encontrado
Método ERi* c-Engenharia de Requisitos Intencional.,"APA Oliveira, JCS do Prado Leite, LM Cysneiros ",5,no encontrado
Um Processo Guiado para Levantamento e Modelagem de Requisitos de Aplicações Web Baseado em Objetivos e Casos de Uso,"D Zaniro, S Fabbri ",2,no encontrado
A Language-Based Approach to Variability Analysis.,"BS da Silva, SDJ Barbosa, JCS do Prado Leite ",6,no encontrado
Uma abordagem semi-automática para a manutenção de links de rastreabilidade.,"MDO Leal, MC Figueiredo, CRB de Souza ",5,no encontrado
Quantifying Functional Reuse from Object Oriented Requirements Specifications.,N Condori,1,no encontrado
Using Mediation Theory to Build a Requirements Conflict Resolution Model.,"N Ma, T Hall, T Barker, M Zhang ",0,no encontrado
Um Framework para Avaliação de Episódios de Gestão do Conhecimento.,"FMM Neto, PFR Neto ",0,no encontrado
