título,autor,citas,observación
Preface,"M Schwab, WP Kaschka, E Spina ",48,no encontrado
"To be, or not to be (socially oriented ): that's the question",-,-,-
Padrões de Escrita de Requisitos: um Mapeamento Sistemático da Literatura.,"RC da Silva, FBV Benitti ",9,no encontrado
Using Systematic Review to Elicit Requirements of Reference Architectures.,"EY Nakagawa, LBR Oliveira ",15,no encontrado
Uma Proposta de Elicitação e Análise de Requisitos no Contexto de Médias e Pequenas Empresas de Desenvolvimento de Software.,"CF de Souza, VFA Santander ",5,no encontrado
Estudio experimental de la efectividad de la entrevista abierta frente a la entrevista independiente de contexto,"DH Carrizo Moreno, O Dieste Tubio, N Juristo Juzgado… ",0,no encontrado
Modelagem da atividade de elicitação de requisitos utilizando a técnica de entrevista: uma abordagem utilizando dinâmica de sistemas.,"VO Hermsdorf, JL Braga, L Carvalho, LS Soares… ",4,no encontrado
Transparência Aplicada a Modelos de Negócio.,"AL de Castro Leal, HP Sousa, JCS do Prado Leite… ",9,no encontrado
O Método de Inspeção Semiótica Aplicado ao Requisito Usabilidade.,"ES Monsalve, VMB Werneck, J Leite ",1,no encontrado
Specification of failure-handling requirements as policy rules on self-adaptive systems,"JH Pimentel, J Castro… ",7,no encontrado
De Arquitecturas Organizacionais em i* a Arquitecturas Baseadas em Agentes: Uma abordagem orientada,"C Silva, P Dias, J Araújo, A Moreira ",0,no encontrado
Model interchange and tool interoperability in the i* framework: a proof of concept,"D Colomer, L López Cuesta, C Cares… ",12,no encontrado
Design Rationale Representation in Requirements Engineering using the KAOS meta-model.,"EG Santos, AP de Medeiros ",3,no encontrado
A Goal Oriented Approach to Identify and Configure Feature Models for Software Product Lines.,"C Silva, C Borba, J Castro ",31,no encontrado
Message Structures: a Modelling Technique for Information Systems Analysis and Design.,"A González, M Ruiz, S España, Ó Pastor ",13,no encontrado
