título,autor,citas,observación
Preface,"M Schwab, WP Kaschka, E Spina ",48,no encontrado
Table of Contents,-,-,-
Abstract security patterns for requirements specification and analysis of secure systems,E Fernandez,2,no encontrado
"Modelo orientado à meta para estabelecer relações de contribuição mútua entre Proveniência, Transparência e Confiança",P Leite ,2,no encontrado
"Engenharia de Requisitos: Um Survey realizado no Porto Digital, Recife/Brasil.","D Arruda, R Soares, D Vieira, R Ferreira, T Cabral… ",5,no encontrado
Prácticas de Ingeniería de Requerimientos en el desarrollo de aplicaciones Web.,"A Oliveros, FJ Danyans, ML Mastropietro ",33,no encontrado
Semantic Documentation in Requirements Engineering.,"R de Almeida Falbo, CEC Braga, BN Machado ",10,no encontrado
NDR-Tool: Uma Ferramenta de Apoio ao Reuso de Conhecimento em Requisitos Não Funcionais.,"AL de Araújo, LM Cysneiros, VMB Werneck ",8,no encontrado
Um modelo de features para jogos sérios voltados à saúde: uma abordagem baseada em linha de produtos de software.,"D Tavares, C Silva, D Rousy ",4,no encontrado
,CLC Souza ,19,no encontrado
NòmosBPMN: Adaptando o Nòmos para a Modelagem de Processos de Negócio.,"H Albuquerque, C Silva, D Rousy ",4,no encontrado
Uma Abordagem Colaborativa de Modelagem Conceitual de Informação utilizando Mind Maps.,"RB Duarte, J Júnior, R Araújo, F Wanderley… ",0,no encontrado
Extração de casos de teste a partir de modelos de processos de negócio.,"HP Sousa, AL de Castro Leal, A von Staa… ",1,no encontrado
Managing requirements@ run. time with a linguistic decision making approach.,"R Torres, H Astudillo ",0,no encontrado
