título,autor,citas,observación
Preface,"M Schwab, WP Kaschka, E Spina ",48,no encontrado
Organization,-,-,-
"Keynotes, Invited Talks, and Panel Session",-,-,-
Improving the selection of requirements elicitation techniques: a faceted guide,"RC Ignácio, FBV Benitti ",4,no encontrado
Survey Evaluation of an Approach for Dynamic Software Product Lines,"G Guedes, C Silva, M Soares ",0,no encontrado
REACT-M: O Relato de um Estudo de Caso de Aplicação de um Método Ágil para Gerência de Requisitos de Software,"BWFV da Silva¹, SRB Oliveira¹ ",1,no encontrado
Safety Requirements and Risk Analysis Related to Insulin Infusion Pumps: A Systematic Review.,"F dos Santos Rocha, LEG Martins ",0,no encontrado
Hacia la Evaluación Automática de la Calidad de los Requerimientos de Software usando Redes Neuronales Long Short Term Memory.,"MG Gramajo, LC Ballejos, M Ale ",2,no encontrado
Suporte ao rastreamento de requisitos na ferramenta JGOOSE.,"VA Pozzan, GCL Geraldino, VFA Santander, IF da Silva ",0,no encontrado
Comunicaçao de requisitos em quadros kanban virtuais,LAM Zaina ,0,no encontrado
SPIDe para a Elicitação de Requisitos integrada ao Design de Interação: a percepção de especialistas em desenvolvimento de software.,"JCS Rosa, BB do Rêgo, F Garrido, P Valente… ",0,no encontrado
Identificação de Requisitos de Segurança para Experimentos Científicos Embarcados.,"HAC Procópio, LEG Martins, CHN Lahoz ",1,no encontrado
Requirements for a Software Audit Model in Safety-Critical Domains.,"TMR Slavov, JC Marques, LEG Martins ",0,no encontrado
Uma Ferramenta para Construção de Catálogos de Padrões de Requisitos com Comportamento.,"TN Kudo, R de Freitas Bulcão",7,no encontrado
Problemas do Design Thinking para a Engenharia de  Requisitos: uma Revisão Sistemática da Literatura,"FA de Castro Pinto, FL Siqueira ",3,no encontrado
Descrevendo requisitos de User eXperience em Critérios de Aceitação de User Stories.,"JHJ Souza, LC Marques, TU Conte, LAM Zaina ",1,no encontrado
JiStar Rastreabilidade Entre Código Java e Modelos de Metas i.,"AM da Mota Moura, JCS do Prado Leite ",0,no encontrado
Os Benefícios do Uso de Ontologias em Sistemas Embarcados.,"A Sousa, T Gomes, L Lima, FMR Alencar ",0,no encontrado
Empathy and Criativity in Privacy  Requirements Elicitation: Systematic Literature  Review,"A Sousa, T Gomes, L Lima, FMR Alencar ",0,no encontrado
Conflitos na ER: Proposta de uma Atividade de Narrativa com auxílio de Realidade Aumentada,"C Andrade, M Lencastre, A Barbosa… ",1,no encontrado
Avaliando a Relação entre o Catálogo de Transparência de Software eo Processo de Engenharia de Requisitos do MPS-SW.,"ACC da Silva, HP de Sá Sousa, EK Almentero… ",0,no encontrado
Nfr4es: Um catálogo de requisitos nao-funcionais para sistemas embarcados,RA Silva ,6,no encontrado
Would you like better visualization for requirements prioritization and release planning?,"J Pimentel, M Lencastre ",3,no encontrado
Negociação-Colaboração para Qualidade de Requisitos de Qualidade.,"GBR Linhares, JCS do Prado Leite ",0,no encontrado
