título,autor,citas,observación
Scalability of istar: a systematic mapping study,"P Lima¹, J Vilela¹, E Gonçalves¹, J Pimentel… ",8,no encontrado
"Transformação do Modelo i* em User Stories: uma abordagem para documentação ágil baseada nas razões, intenções e NFR.","C Agra, D Assis, A Sousa, A Jaqueira, M Lucena… ",0,no encontrado
An empirical study on the use of context annotations and flow expressions to specify the behavior of context-sensitive systems.,"J Vilela, J Castro, J Pimentel, EJT Gonçalves ",1,no encontrado
Uma solução baseada em ontologia para o tratamento de erros em modelos construídos na linguagem i*.,"HF do Carmo França, R de Freitas Bulcão",0,no encontrado
Trends and needs in requirements engineering research in Ibero-America: insights from a panel,"JL De La Vara, IS Brito, N Condori",4,no encontrado
Avaliação do processo de engenharia de requisitos em empresas de desenvolvimento de software,FBB Haddad ,1,no encontrado
Melhoria de Documentos de Requisitos: um mapeamento sistemático da literatura.,"R Azevedo, A Sousa, R Ramos, FMR Alencar ",1,no encontrado
Uso de un Léxico y Escenarios para Mitigar Amenazas a Requisitos en el Desarrollo Global de Software.,"JP Mighetti, GDS Hadad ",2,no encontrado
Um modelo para tratamento de ambiguidades em requisitos de evolução de sistemas jurídicos baseado em mapeamento conceitual,"LGF Aguiar, RT da Silva, EC Genvigir, JA Fabri… ",3,no encontrado
Calidad en la inspección de requerimientos de software: una propuesta de medición.,"AF Armijos, C Monsalve, RH Ullón, RD Maya… ",0,no encontrado
Towards a Requirements Engineering Process for Innovative Software: Learning with the ConecteIdeias Case.,"RSS Guizzardi, M Accioly, L Fonseca, RL Gomes… ",0,no encontrado
Especificação de requisitos no domínio de sistemas de informação com o uso de padrões,LV Barcelos ,4,no encontrado
A utilização da linguagem natural na especificação de requisitos: um estudo por meio das equações estruturais.,"RA Paldês, ATS Calazans, AM Mariano, EJR de Castro… ",4,no encontrado
