título,autor,citas,observación
Prefácio em Português-Anais do 15. Workshop em Engenharia de Requisitos.,"GN Kaplan, APA Oliveira ",0,no encontrado
Preface English-15th Workshop on Requirements.,"GN Kaplan, APA Oliveira ",0,no encontrado
,"M Ruiz, S España, Ó Pastor, A González ",1,no encontrado
Deriving requirements specifications from the application domain language captured by Language Extended Lexicon.,"L Antonelli, G Rossi, JCS do Prado Leite, A Oliveros ",34,no encontrado
GERSE: Guia de Elicitação de Requisitos para Sistemas Embarcados.,"JC Ossada, LEG Martins, BS Ranieri, A Belgamo ",12,no encontrado
Improving the Quality of Software Requirements Specifications with Semantic Web Technologies.,"V Castañeda, LC Ballejos, ML Caliusco ",18,no encontrado
,"R Torres, H Astudillo ",4,no encontrado
,"M Brischke, VFA Santander, IF da Silva ",11,no encontrado
Modelo Intencional Genérico de Sistemas Biométricos.,"JA do NT Rodrigues, N Salem, VMB Werneck ",0,no encontrado
,"KP Teruel, MYL Vázquez, KF Cedeño, SV Jimenez… ",11,no encontrado
Uma Apoio Sistematizado à Implementação do Processo de Desenvolvimento de Requisitos do MPS. BR e CMMI a partir do Uso de Ferramentas de Software …,"EYC Yoshidome, MRA Souza, WMP Lira, SRB Oliveira… ",3,no encontrado
Verificação de Requisitos de Transparência em Modelos iStar.,"JW Baía, JL Braga, LF de Carvalho ",2,no encontrado
Bula de software: Uma estrutura definida para promover a melhoria da transparência em software,"ALC Leal, E Almentero, H Cunha, HP Sousa… ",5,no encontrado
AIRDoc-i*: um processo para avaliação de modelos i*.,"C Souza, FMR Alencar, G Guedes, M Soares, C Souza… ",4,no encontrado
Extending the 4-Variable Approach to Cyber-Physical Systems: A Practical Experience.,"L Ordinez, O Alimenti, E Rinland, M Gómez, J Marchetti ",None,no encontrado
O Processo de Engenharia de Requisitos sob a Ótica da Gestão de Processos de Negócio.,"JH de Melo Cardoso, AA de Oliveira, FMR Alencar ",0,no encontrado
