título,autor,citas,observación
A Collaborative Approach to Capture the Domain Language.,"L Antonelli, G Rossi, A Oliveros ",2,no encontrado
Extração de requisitos apoiada por técnicas de Inteligência Artificial embutidas em ferramentas de apoio.,"CA Lana, LG Cunha, JL Braga, APA Oliveira ",0,no encontrado
Improving Quality Model Construction Through Knowledge Reuse,"A Oliveros, L Antonelli ",0,no encontrado
Fuentes y técnicas para elicitación de requerimientos. Un estudio de evolución de la práctica,"JP Carvallo Vega, J Franch Gutiérrez… ",2,no encontrado
La Gestión del Conocimiento Aplicada en la Ingeniería de Requisitos: Un Caso de Estudio en Ecuador,"C HINOJOSA, G RAURA, ER FONSECA, O DIESTE ",3,no encontrado
Criatividade Combinacional para Geração de Requisitos Inovadores: Um Relato de Experiência.,"R Pinto, L Silva, M Lucena, I Santos ",3,no encontrado
Elicitação e Especificação de Requisitos em Sistemas Embarcados: Uma Revisão Sistemática.,"A Sousa, C Agra, J Melo, FMR Alencar ",7,no encontrado
Requisitos para Softwares Educacionais Gamificados: Uma Revisão Sistemática de Literatura.,"MM Peixoto, C Silva ",3,no encontrado
Integrating the E4J editor to the JGOOSE tool,"LP Merlin, AL de Borba Silva, VFA Santander… ",8,no encontrado
Modeling SOA from Organizational Models,"OS de Oliveira, C Silva ",0,no encontrado
A Heuristic Approach for Supporting Innovation in Requirements Engineering.,"RAC De Souza, GA de Azevedo Cysneiros Filho… ",4,no encontrado
Um processo colaborativo para a construção de léxicos: o caso da divulgação de transparência.,"P Engiel, J Pivatelli, P Moura, RLQ Portugal… ",5,no encontrado
Apoio a Configuraçao de Processos de Negócio Dinâmicos,"T Pereira12, F Alencar, J Castro, E Alves, P Lima ",0,no encontrado
Trends and Needs in Requirements Engineering Research in Ibero-America,"IS Brito, JL de la Vara ",0,no encontrado
