título,autor,citas,observación
Requirements Engineering for Robotic System: A Systematic Mapping Study.,"D Albuquerque, J Castro, S Ribeiro, T Heineck ",6,no encontrado
Rastreamento e Gerenciamento de Requisitos em Busca da Conformidade Legal.,"I Santos, E Miranda, M Lucena ",1,no encontrado
"A Survey on Preferences of Quality Attributes in the Decision-making for Self-Adaptive Systems: the Bad, the Good and the Ugly","LHG Paucar, N Bencomo ",1,no encontrado
A Qualificação Profissional do Engenheiro de Requisitos no Brasil.,"VD Paldês, J dos Reis Lopes, ALC da Silva, RA Paldês… ",2,no encontrado
O perfil do analista de requisitos de software: uma comparação entre a academia eo mercado de trabalho brasileiro.,"ATS Calazans, RA Paldês, E Braosi, KM Rezende… ",3,no encontrado
Retrospective and Trends in Requirements Engineering for Embedded Systems: A Systematic Literature Review.,"T Pereira, D Albuquerque, A Sousa, FMR Alencar… ",10,no encontrado
Requirements Engineering Practice and Problems in Agile Projects: Results from an International Survey,"S Wagner, DM Fernández, M Felderer… ",35,no encontrado
Limiting the Scope of the Domain Language to Describe the Application Language.,"L Antonelli, G Rossi, JCS do Prado Leite, A Oliveros ",1,no encontrado
Jerarquías Naturales en el Contexto del Proceso de Requisitos,"K Gladys, D Jorge ",2,no encontrado
Usando KIPO para Modelar Problemas e Socialização na Elicitação de Requisitos.,"D Pimenta, F Baião, G Santos ",2,no encontrado
Towards an Ontology of Goal-Oriented Requirements.,"PP Negri, VES Souza, AL de Castro Leal… ",34,no encontrado
Inspección Centrada en Omisiones y Ambigüedades de un Modelo Léxico.,"A Sebastián, GDS Hadad, E Robledo ",4,no encontrado
Un Enfoque Inteligente para Derivar Use Case Maps a partir de Requerimientos de Software.,"B Caimmi, GH Rodríguez, Á Soria ",2,no encontrado
Uma Notação Textual Modular Escalável para Modelos de Requisitos IStar.,"F Penha, M Lucena, LR Lucena, FMR Alencar… ",1,no encontrado
