título,autor,citas,observación
Quality Properties Evaluation for Software Requirements Specifications: An Exploratory Analysis.,"R Saavedra, LC Ballejos, M Ale ",10,no encontrado
Analyzing the Use of an Enterprise Model as a Stakeholder Requirements Model: An Experiment.,"FL Siqueira, PSM Silva ",3,no encontrado
,"D Costal Costa, J Franch Gutiérrez… ",0,no encontrado
25 Years of Requirements Engineering in Brazil: A Systematic Mapping.,"K Oliveira, J Pimentel, E Santos, D Dermeval… ",6,no encontrado
GT4CCI: An Approach Based on Grounded Theory for Crosscutting Concerns Identification in Requirements Documents.,"L de Alencar Sobral, LF da Silva ",1,no encontrado
A Semi-Automatic Strategy to Identify Crosscutting Concerns in PL-AOVgraph Requirement Models.,"M Medeiros, L Silva, AL Medeiros ",1,no encontrado
Una estrategia de integración de Modelos de Objetivos con Análisis Comunicacional.,"MC Leonardi, R Giandini ",1,no encontrado
Uma Abordagem para Engenharia de Requisitos no Domínio de Software Embarcado.,"MRS Marques, E Siegert, LB de Brisolara ",1,no encontrado
Uso de Sinônimos na Identificação de Atributos de Transparência.,"JW Baía, JL Braga ",4,no encontrado
Correcciones semánticas en métodos de estimación de completitud de modelos en lenguaje natural,"CS Litvak, GDS Hadad, JH Doorn ",15,no encontrado
,"J Valaski, W Stancke, SS Reinehr, A Malucelli ",3,no encontrado
,"L Antonelli, G Rossi, JCS do Prado Leite, A Oliveros ",4,no encontrado
