título,autor,citas,observación
Organization,-,-,-
Preface,"M Schwab, WP Kaschka, E Spina ",48,no encontrado
Table of Contents,-,-,-
Requirements Engineering. A market viewpoint.,A Oliveros ,0,no encontrado
Cómo crear piezas de conocimiento en ingeniería de requisitos: replicación y agregación experimentales.,O Dieste ,0,no encontrado
A Goal-Oriented Approach for Variability in BPMN.,"E Santos, J Castro, J Sánchez, O Pastor ",45,no encontrado
G2SPL: Um Processo de Engenharia de Requisitos Orientada a Objetivos para Linhas de Produtos de Software.,"CTLL Silva, C Borba, J Castro ",9,no encontrado
Um estudo de campo sobre o estado da prática da elicitaçao de requisitos em sistemas embarcados,"JC Ossada¹, LEG Martins ",11,no encontrado
From User Requirements to Tasks Descriptions in Real-Time Systems.,"L Ordinez, D Donari, RM Santos, J Orozco ",6,no encontrado
Evolución de un Juego Educacional de Ingeniería de Software a través de Técnicas de Elicitación de Requisitos,"E Monsalve, V Werneck, J Leite ",15,no encontrado
Uma Análise Avaliativa de Ferramentas de Software Livre no Contexto da Implementação do Processo de Gerência de Requisitos do MPS. BR.,"ABC Junior, LN Bentes, M Ronny, SRB Oliveira… ",3,no encontrado
Um Modelo de Rastreabilidade com suporte ao Gerenciamento de Mudanças e Análise de Impacto.,"P Dall'Oglio, JPS da Silva, SCC da Silva Pinto ",3,no encontrado
TERASE: Template para Especificação de Requisitos de Ambiente em Sistemas Embarcados.,"LEG Martins, R de Souza Júnior, HP de Oliveira Jr… ",11,no encontrado
A Tool for Formal Feature Modeling Based on BDDs and Product Families Algebra.,"F Alturki, R Khedri ",7,no encontrado
Lenguaje de Especificación para el Framework Tropos.,"A Martínez, C Velasco, E Morales, H Estrada, LA Gama ",0,no encontrado
