título,título google,autor,author google,nro citas,observación
Preface,Preface,"Maria Lencastre, Graciela Hadad, Johnny Marques. ","M Schwab, WP Kaschka, E Spina - Pharmacogenomics in Psychiatry, 2010 - karger.com",48,-
User Requirements for Game Software Success: An Empirical Investigation,User Requirements for Software Game Process; An Empirical Investigation,"Saiqa Aleem, Luiz Fernando Capretz, Faheem Ahmed, Shuib Basri. ","S Aleem, LF Capretz, F Ahmed, S Basri - arXiv preprint arXiv:2110.03764, 2021 - arxiv.org",0,-
Um Método para Modelagem de Requisitos não Funcionais em Ambient Assisted Living,Um Método para Modelagem de Requisitos não Funcionais em Ambient Assisted Living.,"Maurício Manoel Coelho Júnior, Willy Silva Coutinho, Robson Lima de Alencar, Fernanda Alencar. ","MMC Júnior, WS Coutinho, RL de Alencar, F Alencar - WER, 2021",0,-
RST-IoT: Um Apoio Computacional para Especificação de Requisitos de Sistemas de Software IoT,RST-IoT: Um Apoio Computacional para Especificação de Requisitos de Sistemas de Software IoT,"Ednilson da S. A. Júnior, Daniella de O. Costa, Rebeca C. Motta and Bruno P. de Souza. ","E da SA Júnior¹, DO Costa¹, RC Motta - wer.inf.puc-rio.br",0,-
Specification Cases: a lightweight approach based on Natural Language,Specification Cases: a Lightweight Approach based on Natural Language.,"Leandro Antonelli, Julio Cesar Sampaio do Prado Leite, Alejandro Oliveros, Gustavo Rossi. ","L Antonelli, JCS do Prado Leite, A Oliveros, G Rossi - WER, 2021 - inf.puc-rio.br",0,-
O uso da Lean Persona+ para auxiliar a elaboração de requisitos de UX,O uso da Lean Persona+ para Auxiliar a Elaboração de Requisitos de UX.,"Gabriel Viana Teixeira, Angelica Cunha dos Santos, Tayana Conte, Luciana Zaina. ","GV Teixeira, AC dos Santos, T Conte, LAM Zaina - WER, 2021 - inf.puc-rio.br",0,-
Requirements Engineering for Embedded Systems: A Systematic Literature Review,Requirements Engineering for Embedded Systems: A Systematic Literature Review.,"Tarcísio Pereira, Quelita Ribeiro, Mozart Melo, Sthefanie Magro, Fernanda Alencar, Jaelson Castro. ","T Pereira, QADS Ribeiro, M Melo, S Magro, F Alencar… - WER, 2021 - inf.puc-rio.br",0,-
Análise de Ontologias para Sistemas AAL (Ambient Assisted Living) e o suporte a Compliance,Análise de Ontologias para Sistemas AAL (Ambient Assisted Living) eo suporte a Compliance,"Timóteo Gomes, Fernanda Alencar. ","T Gomes, F Alencar - 24th WER, 2021 - inf.puc-rio.br",1,-
"The Philosophy Behind IRES, an Intentional Requirements Engineering Strategy","The Philosophy Behind IRES, an Intentional Requirements Engineering Strategy.","Antonio de Padua Albuquerque Oliveira, Vera Maria Benjamim Werneck, Luiz Marcio Cysneiros, Julio Cesar Sampaio do Prado Leite. ","APA Oliveira, VMB Werneck, LM Cysneiros… - WER, 2021",2,-
Identificação e Mensuração da Dívida Técnica de Requisitos: um survey na indústria de software,Identificaçao e Mensuraçao da Dıvida Técnica de Requisitos: um survey na indústria de software,"Ana Carolina Candido de Melo, Roberta Andrade de A. Fagundes, José Vinícius Vieira Lima, Fernanda Alencar, Wylliams Barbosa Santos. ","ACC de Melo, R Fagundes, JVV Lima, F Alencar… - WER, 2021 - inf.puc-rio.br",2,-
O papel do patrocinador para apoiar o processo da engenharia de requisitos na busca por ideias externas em projetos de inovação aberta,-,"Fabrizio Farias, Kiev Gama, Hermano Moura. ",-,0,not found
"A Method to Evaluating Consistency, Completeness and Correctness in Evolution Requirements","A Method to Evaluating Consistency, Completeness and Correctness in Evolution Requirements.","Edneuci Denise Audacio, Katia Romero Felizardo, Luiz Gustavo Ferreira Aguiar, Rebeca Teodoro da Silva, Elias Canhadas Genvigir. ","ED Audacio, KR Felizardo, LGF Aguiar, RT da Silva… - WER, 2021 - wer.inf.puc-rio.br",0,-
Rotule-me! Uma experiência de engenharia de requisitos para um sistema de rotulagem,Rotule-me! Uma experiência de Engenharia de Requisitos para um Sistema de Rotulagem.,"Letícia Passos, Lucas Viana, Edson César Oliveira, Tayana Conte. ","L Passos, L Viana, ECC de Oliveira, T Conte - WER, 2021 - inf.puc-rio.br",2,-
Especificação de Requisitos de Privacidade em Conformidade com a LGPD: Resultados de um Estudo de Caso,Especificação de Requisitos de Privacidade em Conformidade com a LGPD: Resultados de um Estudo de Caso.,"Carina Alves, Moisés Neves. ","C Alves, M Neves - WER, 2021 - inf.puc-rio.br",5,-
Aplicando técnicas de Design Thinking para a especificação de cenários na elicitação de requisitos,Aplicando Técnicas de Design Thinking para a Especificação de Cenários na Elicitação de Requisitos.,"Jose Carlos Duarte, Adriana Damian, Rafael Parizi, Sabrina Marczak, Tayana Conte. ","JC Duarte, AL Damian, R Parizi, S Marczak, T Conte - WER, 2021",3,-
Thinking about gender: Combinando Design Thinking e GenderMag na elicitação de requisitos para um software de apoio a avaliação de UX.,Thinking About Gender: Combinando Design Thinking e GenderMag na Elicitação de Requisitos para um Software de Apoio a Avaliação de UX.,"Elizamara K. Almeida, Vinícius Monteiro, Franciane Alves, Brenda Aguiar, Leonardo Marques, Bruno Gadelha, Tayana Conte. ","E Almeida, V Monteiro, F Alves, B Aguiar, LC Marques… - WER, 2021",1,-
Casos de Garantia de Segurança aplicados a sistemas robóticos: revisão sistemática da literatura,Casos de Garantia de Segurança aplicados a Sistemas Robóticos: Revisão Sistemática da Literatura.,"Mozart de Melo Alves Júnior, Maria Lencastre, Lucas Florêncio de Brito, Jaelson Castro, Moniky Ribeiro. ","MMA Júnior, M Lencastre, LF de Brito, J Castro… - WER, 2021 - wer.inf.puc-rio.br",0,-
Diversidade de gênero & Elicitação de requisitos: Uso do GenderMag como Estratégia de Identificação de Requisitos de Usabilidade,Diversidade de Gênero and Elicitação de Requisitos: Uso do GenderMag como Estratégia de Identificação de Requisitos de Usabilidade.,"Moises Barbosa, Isabelle Brilhante, Artur Andrade, Júlia Luiza Conceição, Genildo Gomes, Tayana Conte and Bruno Gadelha. ","M Barbosa, I Brilhante, A Andrade, JL Conceição… - WER, 2021 - inf.puc-rio.br",2,-
Requirements Smells como Indicador de Qualidade para Histórias de Usuários: Estudo Exploratório,Requirements Smells como Indicador de Qualidade para Histórias de Usuários: Estudo Exploratório.,"Rafael Nascimento, Eltoni Guimarães, Marcia Lucena. ","R Nascimento, E Guimarães, M Lucena - WER, 2021 - inf.puc-rio.br",3,-
Modelando perfis de Recursos Humanos para alinhamento de grupos de trabalho,Modelando Perfis de Recursos Humanos para Alinhamento de Grupos de Trabalho.,"Henrique Prado de Sá Sousa, Eduardo Kinder Almentero, Juliana Cesar Sirena Machado and Julio Cesar Sampaio do Prado Leite. ","HP de Sá Sousa, EK Almentero, JCS Machado… - WER, 2021 - researchgate.net",0,-
Engenharia de Requisitos Ágil: Extensão de uma Revisão Sistemática da Literatura,Engenharia de Requisitos Ágil: Extensão de uma Revisão Sistemática da Literatura.,"Renato Menezes, Suzana Sampaio, Marcelo Marinho. ","R Menezes, S Sampaio, M Marinho - WER, 2021 - inf.puc-rio.br",0,-
CSC - Um Sistema de Controle de Cenários de Conflito,CSC-Um Sistema de Controle de Cenários de Conflito.,"Marcos Paiva, Maria Lencastre, Aline Barbosa. ","M Paiva, M Lencastre, AF Barbosa - WER, 2021 - wer.inf.puc-rio.br",0,-
Helius: On a Recommendation System of Design Thinking Techniques for Software Development based on Professionals' Collaboration,Helius: On a Recommendation System of Design Thinking Techniques for Software Development based on Professionals' Collaboration.,"Rafael Parizi, Igor Couto, Lucas Hanauer, Sabrina Marczak, Tayana Conte. ","R Parizi, I Couto, L Hanauer, S Marczak, T Conte - WER, 2021 - researchgate.net",2,-
Requisitos de Confiança para Robôs Socialmente Assistivos,Requisitos de Confiança para Robôs Socialmente Assistivos.,"Larissa Rodrigues da Costa, Jaelson Castro. ","LR da Costa, J Castro - WER, 2021 - wer.inf.puc-rio.br",0,-
"Mantendo a consistência na coevolução de modelos iStar, BPMN e Casos de Uso na Engenharia de Requisitos","Mantendo a Consistência na Coevolução de modelos iStar, BPMN e Casos de Uso na Engenharia de Requisitos.","Diogo Do Nascimento Paza, Victor Santander. ","DDN Paza, VFA Santander - WER, 2021",0,-
Processo de Especificação de Banco de Dados em Sistemas Críticos,Processo de Especificação de Banco de Dados em Sistemas Críticos.,"Sarasuaty Yelisetty, Johnny Marques, Luiz Dias. ","SMH Yelisetty, JC Marques, LAV Dias - WER, 2021",0,-
