título,autor,citas,observación
Organization,-,-,-
Preface,"M Schwab, WP Kaschka, E Spina ",48,no encontrado
Keynote: A Refinement Calculus for Requirements Engineering,J Mylopoulos ,0,no encontrado
Industry Panel,-,-,-
Modelando Requisitos de um Jogo Educacional Médico usando a Metodología INGENIAS SCRUM.,"FT Novo, VM da Silva, BG Ochotorena, LA Pires ",1,no encontrado
Um estudo de caso de aplicação de um método ágil para desenvolvimento de requisitos de software: O react,"KBC Santos, SRB Oliveira ",2,no encontrado
Requisitos não Funcionais e Sustentabilidade para Computação em Nuvem: uma Revisão Sistemática da Literatura.,"K Camboim, FMR Alencar ",2,no encontrado
Configuração de Processos de Negócio em Organizações Públicas Considerando Informações de Contexto e Requisitos Não-Funcionais,"FA Amora Sukar, H Monteiro, T Pereira ",0,no encontrado
Estimación de los Factores Situacionales del Proceso de Requisitos.,"VA Ledesma, GDS Hadad, JH Doorn, NA Bedetti ",1,no encontrado
RASO: an Ontology on Requirements for the Development of Adaptive Systems.,"CC Peçanha, BB Duarte… ",5,no encontrado
Requirements Engineering for Embedded Systems: The REPES Process,"T Pereira12, F Alencar, J Castro ",1,no encontrado
A Requirements Definition Framework for the Robotic Systems Domain-An Exploratory Study.,"D Albuquerque, J Castro, A Sousa ",0,no encontrado
Experimentando o SPIDe aplicado à Elicitação de Requisitos.,"JCS Rosa, E Matos, FS Santos, GJF Silva ",5,no encontrado
O uso de design thinking no apoio ao desenvolvimento de software: Um estudo de caso no contexto de academias de musculação,"L Correa, D Maria, JC Bellio… ",5,no encontrado
Requirements Smells como indicadores de má qualidade na especificação de requisitos: Um Mapeamento Sistemático da Literatura.,"R Nascimento, E Aranha, U Kulesza, M Lucena ",8,no encontrado
Tailoring the NFR Framework for Measuring Software Ecosystems Health.,"S da Silva Amorim, SS Andrade, JD McGregor… ",1,no encontrado
De KAOS para SysML na Modelagem de Sistemas Embarcados: Uma Revisão da Literatura.,"T Gomes, FMR Alencar, A Sousa ",0,no encontrado
A Catalogue of iStar Extensions,"EJT Gonçalves, T Heineck, J Araújo, J Castro ",3,no encontrado
Requisitos de Qualidade de Usabilidade: Análise da Utilização em Sistemas de uma Instituição Financeira.,"ATS Calazans, ETS Masson, RA Paldês… ",1,no encontrado
Priorização de Requisitos em Startups no Armazém da Criatividade (Porto Digital): Resultados Preliminares.,"G Silva, W Santos, M Lencastre ",2,no encontrado
Mechanisms to Support Requirements Prioritization: A Systematic Mapping Review.,"C Cavalcanti, M Lencastre, R Fagundes, T Santos… ",5,no encontrado
Possíveis Limites do Mapeamento Sistemático: Uma Visão de Pesquisadores em Engenharia de Requisitos.,"RLQ Portugal, AM da Mota Moura, RF de Oliveira… ",0,no encontrado
Engenharia de Requisitos Aplicada na Prática em Empresa Júnior.,"N Goelzer, H Reinstein, R Parizi ",0,no encontrado
Apresentando o PRISE: um processo para conduzir as extensões do iStar.,"EJT Gonçalves, J Castro, J Araújo ",0,no encontrado
