título,autor,citas,observación
An iterative and collaborative approach to specify scenarios using natural language,"L Antonelli, J Delle Ville, F Dioguardi… ",0,no encontrado
A collaborative approach to specify Kernel sentences using natural language,"L Antonelli, A Fernández, N Ruffolo… ",0,no encontrado
Obtendo Casos de Uso a Partir de Modelos de Processos de Negócio: Uma Revisão Sistemática da Literatura,"VFA Santander, SC de Andrade, IF da Silva, A LB… ",0,no encontrado
Requisitos Não-Funcionais de Confiança: Um Catálogo para Robôs Socialmente Assistivos,"LR da Costa, J Castro, J Kelner, M Lencastre ",0,no encontrado
Design Thinking and Non-Functional Requirements Elicitation: A Survey,"FA de Castro Pinto, AAF Brandão ",0,no encontrado
Organizing the TD Management Landscape for Requirements and Requirements Documentation Debt,"L Barbosa, S Freire, N Rios, R Ramač… ",6,no encontrado
Uma taxonomia para requisitos de privacidade e sua aplicaçao no Open Banking Brasil,"SÉR Ferrao, E Dias ",0,no encontrado
A Catalogue of KAOS Extensions,"PR de Carvalho Junior, EJT Gonçalves, RM Carvalho… ",0,no encontrado
Requirements Engineering Processes in the Context of IoT and Requirements Validation Techniques,"L da Silva Souza, F Brito, ED Canedo ",0,no encontrado
Engenharia de Requisitos de Sistemas IoT e Ciber-Físicos: Resultados Preliminares,"EF Veiga, RF Bulcão",0,no encontrado
A catalogue of concerns for specifying machine learning-enabled systems,"H Villamizar, M Kalinowski ",2,no encontrado
Um survey com especialistas como validação de elementos para composição de uma ontologia para Sistemas AAL (Ambient Assisted Living),"T Gomes, F Alencar ",0,no encontrado
Requirements: The Never-Ending Story,JCS do Prado Leite ,0,no encontrado
Relato de experiência da linguagem de modelagem SysADL para documentaçao de sistemas embarcados com Arduino,"S Guimaraes, M Lucena, R Coelho ",0,no encontrado
Requirements management improvements for an agile project: an experience report,"A Sousa, P Duarte, IS Santos, MR Fernandes… ",0,no encontrado
Diretrizes para apresentação de políticas de privacidade voltadas à experiência do usuário,"E Santana, J Vilela, M Peixoto ",0,no encontrado
Padrões de requisitos para sistemas de registro eletrônico de saúde,"MC Martins, TN Kudo… ",2,no encontrado
Do platforms care about your child's data a proposal of legal requirements for children's privacy and protection,"G Valença, M Sarinho, V Polito… ",1,no encontrado
Ensino de prevenção e gerenciamento de conflitos na En-genharia de Software baseado em Metodologias Ativas,A Barbosa ,0,no encontrado
A catalog of quality criteria to guide the assessment of applications' privacy policies,"A Terra, J Vilela, M Peixoto ",2,no encontrado
ASP: An Aerospace Specification Process for Hardware Logic,"CR dos Santos, JC Marques ",0,no encontrado
Explorando a especificação de cenários de teste de segurança no desenvolvimento orientado por comportamento (Behavior Driven Development),"MY Lima, C Silva, R Souza ",0,no encontrado
Modelagem de Requisitos Iniciais de Segurança com Requirements4Safety,R Argenton ,0,no encontrado
Safety & Security Alignment in Requirements Engineering Process for Autonomous Vehicles,"Q Ribeiro, J Castro ",0,no encontrado
SAFE-Robot: Uma Abordagem para Sistematizar a Elaboração de Casos de Garantia de Segurança que Auxilie na Certificação de Sistemas Robóticos,J Castro ,0,no encontrado
Towards an approach to conflict assessment in software teams,"A Barbosa, M Lencastre ",0,no encontrado
Documentação de Requisitos de Sistemas  Legados Uma proposta baseada na Engenharia de Requisitos Orientada a Objetivos,-,-,-
rTiWIM: Uma Ferramenta para Elicitaçao e Validaçao de Requisitos de Software Utilizando Linguagem de Interface,"JVR Araújo, C Bezerra, AL Sampaio ",0,no encontrado
